,type,x,y,z,r,parent
17788_4719_x3512_y9492.swc,1,5348.575000000001,3444.3,9833.05,1.0,-1
17788_5059_x3960_y6601.swc,1,5668.4,2498.4500000000003,9744.275,1.0,-1
17788_5767_x16636_y3662.swc,1,6444.475,1218.25,5808.675,1.0,-1
18047_00047.swc,1,2422.275,3448.5750000000003,5170.174999999999,1.0,-1
18047_2622_x11862_y12983.swc,1,2514.35,4365.425,5826.625,1.0,-1
18047_3132_x24052_y12385.swc,1,3324.275,1274.7,6042.45,1.0,-1
18047_4141_x14168_y9063.swc,1,5237.9,4157.224999999999,7209.4,1.0,-1
18047_4458_x18853_y10785.swc,1,5483.3,2978.875,6429.000000000001,1.0,-1
18047_5719_x25513_y7957.swc,1,6747.849999999999,1352.225,7659.7,1.0,-1
18047_7769_x31046_y13195.swc,1,9826.25,730.85,5794.35,1.0,-1
182724_2238_x7096_y20268.swc,1,2264.975,3188.925,7478.650000000001,1.0,-1
182724_2247_x6785_y11803.swc,1,2595.1,3003.675,3753.75,1.0,-1
182724_2333_x7081_y21185.swc,1,2338.8,3135.2250000000004,7926.575,1.0,-1
182724_2383_x9300_y17890.swc,1,2797.375,4256.5,6428.924999999999,1.0,-1
182724_2494_x6419_y20983.swc,1,2528.0,2733.775,7847.275000000001,1.0,-1
182724_2525_x8483_y21088.swc,1,2714.0750000000003,3816.525,7903.625,1.0,-1
182724_2526_x7529_y21792.swc,1,2592.15,3320.175,8240.85,1.0,-1
182724_2670_x5615_y13225.swc,1,3006.025,2273.675,4412.95,1.0,-1
182724_2926_x5279_y13761.swc,1,3284.5999999999995,2015.7,4641.025,1.0,-1
182724_2997_x5821_y12613.swc,1,3496.2000000000003,2270.95,4177.525,1.0,-1
182724_3848_x8903_y23965.swc,1,4242.525,3880.4,9386.25,1.0,-1
182724_3887_x5901_y10339.swc,1,4679.975,2191.0,3326.6,1.0,-1
182724_4327_x4847_y18972.swc,1,4767.175,1503.125,7033.0,1.0,-1
182724_4472_x5247_y12162.swc,1,5200.9,1704.675,4134.349999999999,1.0,-1
182724_4580_x5627_y9427.swc,1,5469.95,1962.35,3020.925,1.0,-1
182724_4599_x8181_y6776.swc,1,5659.775,3450.75,1850.025,1.0,-1
182724_4785_x5002_y11122.swc,1,5563.75,1548.15,3707.15,1.0,-1
182724_5355_x5321_y20589.swc,1,5984.625,1632.725,7879.325,1.0,-1
182724_5410_x4393_y11075.swc,1,6216.599999999999,1206.075,3693.9,1.0,-1
182724_5651_x9832_y25682.swc,1,6312.825,4113.275000000001,10182.2,1.0,-1
182724_5793_x8695_y5510.swc,1,7072.875000000001,3564.025,1469.325,1.0,-1
182724_5937_x3804_y11955.swc,1,6772.25,908.65,4089.125,1.0,-1
182725_2241_x9113_y11193.swc,1,2469.75,2944.425,3518.575,1.0,-1
182725_2376_x10033_y10786.swc,1,2647.2000000000003,3317.375,3320.9000000000005,1.0,-1
182725_2390_x8944_y12077.swc,1,2683.35,2982.1000000000004,3929.7,1.0,-1
182725_2581_x9375_y21137.swc,1,2651.8,4183.599999999999,7672.375,1.0,-1
182725_2917_x9391_y22263.swc,1,3075.6,4279.6,8265.125,1.0,-1
182725_3680_x13452_y7614.swc,1,4612.25,4594.125,1852.075,1.0,-1
182725_3762_x5563_y19178.swc,1,4292.525,2014.325,7261.400000000001,1.0,-1
182725_4080_x6576_y11407.swc,1,4765.225,1482.675,4404.0,1.0,-1
182725_4160_x5717_y19181.swc,1,4873.25,2110.775,7298.75,1.0,-1
182725_4290_x5671_y18488.swc,1,4998.725,1943.95,7039.849999999999,1.0,-1
182725_4390_x5078_y18459.swc,1,5013.775,1591.85,7056.924999999999,1.0,-1
182725_5012_x5980_y10427.swc,1,5930.975,1082.625,4239.4,1.0,-1
182725_5094_x5532_y11642.swc,1,5921.05,1033.75,4732.125,1.0,-1
182725_6819_x6109_y7853.swc,1,8771.875,1107.225,3132.375,1.0,-1
182725_7341_x4593_y22594.swc,1,8738.2,2054.15,9574.15,1.0,-1
18452_3926_x14445_y21337.swc,1,4081.25,7173.025,7057.099999999999,1.0,-1
18452_4002_x10332_y17479.swc,1,4663.675,5605.025,8548.099999999999,1.0,-1
18452_4126_x15225_y20986.swc,1,4368.625,7082.174999999999,6769.625000000001,1.0,-1
18452_4272_x26686_y20064.swc,1,4635.6,6618.65,3092.65,1.0,-1
18452_4536_x11274_y21067.swc,1,5142.5,7043.275,8202.175,1.0,-1
18452_5511_x26566_y3403.swc,1,6380.925,821.025,3346.4750000000004,1.0,-1
18452_7249_x11408_y2071.swc,1,9599.3,689.175,7691.200000000001,1.0,-1
18453_1641_x24165_y10580.swc,1,2112.425,4142.224999999999,7925.525000000001,1.0,-1
18453_1643_x24077_y11694.swc,1,2163.3,3718.1,7845.099999999999,1.0,-1
18453_1674_x14446_y9719.swc,1,1926.95,4619.55,4444.400000000001,1.0,-1
18453_1924_x22284_y8069.swc,1,2458.85,5104.15,7248.25,1.0,-1
18453_2190_x23739_y8507.swc,1,2959.025,4925.650000000001,7676.575,1.0,-1
18453_2400_x15836_y7243.swc,1,3063.15,5552.125,5026.825,1.0,-1
18453_2428_x13810_y8197.swc,1,3144.375,5239.275,4325.4,1.0,-1
18453_2632_x11687_y8383.swc,1,3317.7750000000005,5261.075000000001,3509.225,1.0,-1
18453_2645_x28684_y11703.swc,1,3598.65,3637.125000000001,9244.225,1.0,-1
18453_2713_x27713_y9899.swc,1,3744.9,4316.575000000001,8864.975,1.0,-1
18453_2884_x12998_y7285.swc,1,3811.625,5649.75,4116.675,1.0,-1
18453_2991_x13607_y7348.swc,1,4031.575,5606.75,4395.4,1.0,-1
18453_3021_x27493_y8943.swc,1,4209.9,4659.0,8652.25,1.0,-1
18453_3147_x16721_y20510.swc,1,4005.35,231.525,4865.175,1.0,-1
18453_3186_x12745_y7108.swc,1,4247.2,5740.8,4073.15,1.0,-1
18453_3218_x16785_y20581.swc,1,4099.675,208.3,4880.925,1.0,-1
